"Year","Code","Date","Inns","Wkts","Runs","Opp"
1949,"scog",1949-05-08 00:00:00,1,6,9,"Windmill Athletic"
1949,"scog",1949-08-28 00:00:00,1,6,10,"Paxton Park"
1949,"solw",1949-09-18 00:00:00,1,7,9,"Victor Sports"
1950,"oxld",1950-05-21 00:00:00,1,6,23,"Westminster School Mission OB"
1950,"oxld",1950-05-28 00:00:00,1,6,35,"Kensal"
1950,"solw",1950-06-11 00:00:00,1,7,21,"Raynes PR"
1950,"solw",1950-08-27 00:00:00,1,8,18,"Elmfield"
1950,"solw",1950-09-03 00:00:00,1,6,14,"North Surrey"
1950,"tine",1950-05-07 00:00:00,1,6,37,"Raynes PR"
1951,"scog",1951-05-13 00:00:00,1,6,12,"Forestry Commission Lyndhurst"
1951,"scog",1951-06-17 00:00:00,1,6,20,"Frogmore"
1951,"scog",1951-07-29 00:00:00,1,6,15,"Victor Sports"
1951,"solw",1951-05-01 00:00:00,1,6,14,"Forestry Comm Alice Holt"
1951,"solw",1951-05-27 00:00:00,1,6,36,"Selsdon"
1951,"tine",1951-06-24 00:00:00,1,6,18,"Victor Sports"
1952,"keye",1952-06-15 00:00:00,1,6,27,"South Harrow"
1952,"keye",1952-08-31 00:00:00,1,7,7,"Lavender"
1952,"scog",1952-05-25 00:00:00,1,6,21,"Grange Mills"
1952,"solw",1952-04-27 00:00:00,1,6,15,"Riverside"
1952,"solw",1952-05-18 00:00:00,1,6,27,"West Beckenham Cons"
1953,"ferg",1953-04-26 00:00:00,1,6,9,"Raynes Park Residents"
1953,"ferg",1953-09-20 00:00:00,1,6,12,"Paxton Park"
1953,"solw",1953-05-24 00:00:00,1,9,13,"Swan Green"
1953,"solw",1953-05-24 00:00:00,2,7,14,"Swan Green"
1953,"solw",1953-05-31 00:00:00,1,6,30,"Gartons"
1954,"ferg",1954-08-02 00:00:00,1,7,20,"Ilford British Legion"
1954,"solw",1954-05-09 00:00:00,1,7,5,"RAFA Beckenham & Penge"
1954,"solw",1954-07-04 00:00:00,1,6,24,"laleham Village"
1954,"solw",1954-07-11 00:00:00,1,6,23,"Weston Green"
1954,"solw",1954-09-12 00:00:00,1,6,35,"Grange Mills"
1955,"greb",1955-04-30 00:00:00,1,6,17,"Merton Saints"
