"Code","Year","Matches","Won","Lost","Drawn","NoDecision","Tied"
"aldr",1972,6,2,2,2,0,0
"angg",1983,1,0,1,0,0,0
"angg",1984,4,1,3,0,0,0
"angg",1986,1,0,0,1,0,0
"angg",1988,1,0,1,0,0,0
"angg",1989,1,0,1,0,0,0
"angg",1990,2,0,1,1,0,0
"angg",1992,1,0,1,0,0,0
"angg",1993,1,0,1,0,0,0
"angg",1995,9,3,4,2,0,0
"angg",1996,1,0,0,1,0,0
"bowm",2005,4,0,3,1,0,0
"brid",1974,6,1,4,0,1,0
"brid",1975,8,4,3,1,0,0
"brid",1976,10,5,4,1,0,0
"brod",1997,3,1,1,1,0,0
"char",1966,7,2,4,1,0,0
"char",1967,1,0,0,1,0,0
"clac",2001,1,1,0,0,0,0
"clac",2002,1,0,1,0,0,0
"clac",2003,12,3,6,3,0,0
"clac",2004,3,1,2,0,0,0
"clac",2005,12,3,2,6,0,1
"clac",2006,14,2,10,2,0,0
"clac",2007,11,1,5,3,1,1
"clac",2008,16,4,7,4,1,0
"clac",2009,21,6,13,2,0,0
"clac",2010,19,9,7,3,0,0
"clac",2011,15,3,11,0,1,0
"clac",2012,6,0,5,1,0,0
"clac",2013,1,1,0,0,0,0
"clkm",2012,1,1,0,0,0,0
"clkm",2015,1,0,1,0,0,0
"coop",1977,27,14,6,6,1,0
"coop",1978,22,9,8,5,0,0
"coop",1979,21,6,5,10,0,0
"coop",1980,19,8,6,5,0,0
"coop",1981,20,9,3,7,1,0
"coop",1982,23,9,5,8,1,0
"coop",1983,23,6,11,6,0,0
"coop",1984,4,2,0,2,0,0
"coop",1985,1,0,1,0,0,0
"coop",1986,3,1,2,0,0,0
"coop",1987,3,2,1,0,0,0
"coop",1988,2,0,1,1,0,0
"coop",2008,2,1,1,0,0,0
"dugd",1996,4,1,2,1,0,0
"ellj",1997,1,0,0,1,0,0
"ellj",1998,3,1,1,1,0,0
"ellj",1999,3,0,0,3,0,0
"ellj",2000,1,0,1,0,0,0
"fart",1972,1,1,0,0,0,0
"fart",1977,6,2,2,2,0,0
"fart",1978,7,3,2,2,0,0
"fosk",1995,3,2,1,0,0,0
"gred",2018,1,0,1,0,0,0
"gwip",1958,4,1,1,2,0,0
"gwip",1959,5,3,1,1,0,0
"gwip",1961,22,8,9,5,0,0
"gwip",1962,22,11,5,6,0,0
"gwip",1963,27,14,6,7,0,0
"gwip",1964,29,10,12,5,1,1
"hawa",1994,16,6,7,3,0,0
"howv",1972,11,3,1,7,0,0
"howv",1974,3,2,0,1,0,0
"howv",1975,9,5,2,2,0,0
"howv",1976,12,6,4,2,0,0
"howv",1977,9,5,3,0,1,0
"howv",1978,9,3,2,4,0,0
"howv",1979,9,4,4,1,0,0
"howv",1982,7,1,3,3,0,0
