"Year","Wicket","Date","Total","Undefeated","Bat1","Bat1Score","Bat1NotOut","Bat2","Bat2Score","Bat2NotOut","Opp"
1949,1,1949-05-01 00:00:00,50,0,"oxls",29,0,"keye",26,0,"Hogarth"
1949,2,1949-05-08 00:00:00,45,0,"oxls",24,0,"foxw",19,0,"?"
1949,3,1949-08-28 00:00:00,30,0,"oxld",9,0,"wook",20,0,"?"
1949,4,1949-05-15 00:00:00,79,0,"foxw",41,0,"andk",43,0,"?"
1949,5,1949-05-15 00:00:00,22,0,"andk",43,0,"clag",6,0,"?"
1949,5,1949-09-18 00:00:00,22,0,"oxld",42,1,"keye",46,0,"?"
1949,6,1949-08-28 00:00:00,21,0,"hiln",8,0,"solw",15,0,"?"
1949,7,1949-05-29 00:00:00,36,0,"tine",54,0,"hiln",9,0,"?"
1949,8,1949-07-24 00:00:00,17,0,"solw",12,0,"wil?",7,0,"?"
1949,9,1949-09-04 00:00:00,44,0,"solw",14,0,"coor",30,0,"?"
1949,10,1949-06-26 00:00:00,19,0,"jacf",7,0,"lngs",12,0,"?"
1949,11,1949-05-01 00:00:00,1,0,"coor",3,0,"crnn",0,0,"?"
1950,1,1950-07-09 00:00:00,69,0,"wrig",55,0,"tine",33,0,"Old Ford"
1950,2,1950-07-09 00:00:00,36,0,"tine",33,0,"oxld",18,0,"Old Ford"
1950,3,1950-08-13 00:00:00,39,0,"oxld",22,0,"oxls",9,0,"Benham"
1950,4,1950-06-25 00:00:00,27,0,"oxld",29,0,"oxls",14,0,"United Insulator"
1950,5,1950-09-03 00:00:00,44,0,"keye",39,0,"scog",16,0,"North Surrey"
1950,6,1950-06-11 00:00:00,41,0,"clar",18,0,"keye",24,0,"Raynes Park R"
1950,7,1950-05-21 00:00:00,22,0,"cave",13,0,"clar",10,0,"Westminster Sch. Mission OB"
1950,8,1950-07-23 00:00:00,11,0,"solw",31,0,"hiln",0,1,"Temple Sheen"
1950,8,1950-08-06 00:00:00,11,0,"gran",7,1,"watt",0,0,"Benham"
1950,9,1950-08-06 00:00:00,20,0,"hiln",7,1,"holm",12,0,"Benham"
1950,10,1950-08-27 00:00:00,4,0,"ferg",4,1,"gran",0,0,"Elmfield"
1951,1,1951-07-29 00:00:00,83,0,"tine",55,0,"wike",37,0,"Victor Sports"
1951,2,1951-07-29 00:00:00,53,0,"tine",55,0,"wrig",33,0,"Victor Sports"
1951,3,1951-08-05 00:00:00,59,0,"oxls",47,0,"oxld",20,1,"Bury"
1951,4,1951-05-06 00:00:00,32,1,"wrig",29,1,"hiln",11,1,"Bury"
1951,5,1951-05-13 00:00:00,24,0,"oxld",17,0,"hiln",12,0,"For.Com.Lyndhurst"
1951,5,1951-06-24 00:00:00,24,1,"oxls",30,1,"clar",7,1,"Victor Sports"
1951,6,1951-07-08 00:00:00,35,0,"keye",32,0,"oxls",13,0,"Selsdon"
1951,7,1951-09-09 00:00:00,27,0,"coll",17,0,"scog",9,1,"Grange Mills"
1951,8,1951-06-10 00:00:00,45,1,"oxls",52,1,"grea",9,1,"Grange Mills"
1951,9,1951-06-03 00:00:00,22,0,"solw",21,1,"clar",16,0,"Paxton Park"
1951,9,1951-07-29 00:00:00,22,0,"hiln",12,1,"gwip",3,0,"Victor Sports"
1951,10,1951-06-03 00:00:00,15,1,"solw",21,1,"hiln",3,1,"Paxton Park"
1952,1,1952-06-22 00:00:00,36,0,"gwip",19,0,"hiln",16,0,"Gartons"
1952,2,1952-09-07 00:00:00,51,0,"oxld",40,1,"gwip",23,0,"Old Mid-Whitgiftians"
1952,3,1952-07-20 00:00:00,71,0,"gwip",55,0,"wrig",46,0,"Trinity"
1952,3,1952-08-17 00:00:00,72,0,"oxls",65,0,"wrig",28,0,"Great Northern"
1952,4,1952-06-02 00:00:00,31,0,"oxld",22,0,"keye",15,0,"Bramtoco"
1952,5,1952-06-22 00:00:00,63,0,"keye",37,1,"oxls",37,0,"Gartons"
1952,6,1952-08-31 00:00:00,39,0,"sewd",16,0,"oxls",15,0,"Lavender"
1952,7,1952-05-18 00:00:00,38,0,"grea",27,1,"coll",23,0,"West Bec. Cons"
1952,8,1952-08-17 00:00:00,25,0,"scog",16,0,"solw",13,1,"Great Northern"
1952,9,1952-08-24 00:00:00,16,0,"clar",18,0,"scog",9,1,"Eaton Socon"
1952,10,1952-07-20 00:00:00,58,0,"keye",43,1,"solw",37,0,"Trinity"
1953,1,1953-07-05 00:00:00,49,0,"solw",28,0,"oxld",26,0,"Forestry Comm Alice Holt"
1953,2,1953-07-19 00:00:00,31,0,"oxld",15,0,"solw",2,0,"Green St Green"
1953,3,1953-04-25 00:00:00,64,0,"oxld",34,1,"gwip",30,1,"Clapham Oddfellows"
1953,3,1953-06-07 00:00:00,96,0,"scog",44,0,"solw",42,1,"Trinity"
1953,3,1953-09-19 00:00:00,120,0,"keye",84,1,"ferg",59,0,"Clapham Oddfellows"
1953,4,1953-09-12 00:00:00,64,0,"oxld",46,0,"onlg",35,0,"Raynes Park Res"
1953,5,1953-09-20 00:00:00,47,0,"tine",26,0,"scog",22,0,"Paxton Park"
1953,6,1953-08-09 00:00:00,53,0,"scog",37,1,"tine",26,0,"New Cavendish"
1953,7,1953-05-31 00:00:00,37,0,"oxls",20,0,"solw",10,0,"Gartons"
1953,8,1953-04-25 00:00:00,24,1,"scog",18,1,"gwic",8,1,"Clapham Oddfellows"
1953,9,1953-06-28 00:00:00,29,0,"oxls",30,0,"solw",7,1,"RAFA Beckenham"
1953,10,1953-07-26 00:00:00,10,1,"ever",15,1,"hump",1,1,"Selsdon"
1954,1,1954-09-18 00:00:00,42,0,"oxld",24,0,"oxls",19,0,"Clapham Oddfellows"
1954,2,1954-04-24 00:00:00,90,1,"oxld",47,1,"hiln",32,1,"Clapham Oddfellows"
1954,2,1954-07-03 00:00:00,50,0,"quai",87,1,"sewp",14,0,"Battersea Elts"
1954,2,1954-08-01 00:00:00,58,0,"oxld",49,0,"onlg",34,0,"Leytonstone BL"
1954,3,1954-06-20 00:00:00,124,0,"wrig",66,0,"sewp",58,0,"Great Northern"
1954,4,1954-07-03 00:00:00,83,1,"quai",87,1,"onlg",28,1,"Battersea Elts"
1954,5,1954-08-29 00:00:00,47,0,"keye",55,0,"wrig",30,0,"Old Elvians"
1954,6,1954-06-05 00:00:00,54,1,"oxls",42,1,"onlg",15,1,"Langley Manor"
1954,7,1954-05-16 00:00:00,35,0,"sewd",21,0,"sewp",17,0,"West Kent Wanderers"
1954,8,1954-04-25 00:00:00,30,0,"ever",14,0,"oxls",14,0,"Cornwall"
1954,9,1954-06-27 00:00:00,25,0,"ferg",27,1,"grea",10,0,"Green St Green"
1954,10,1954-08-15 00:00:00,47,0,"onlg",35,1,"coll",22,0,"Brownacres"
1955,1,1955-06-11 00:00:00,62,0,"onlg",43,0,"oxld",20,0,"Clapham Odds"
1955,1,1955-06-19 00:00:00,57,0,"onlg",40,0,"oxld",24,0,"Great Northern"
