"Code","Year","Matches","Innings","NotOut","Highest","HighestNotOut","RunsScored","Fours","Sixes","Overs","Balls","Maidens","Wides","NoBalls","Runs","Wickets","FiveWktInn","Caught","Stumped","Fifties","Hundreds","Fives","CaughtWkt","Captain","KeptWicket"
"adal",2013,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"adgd",2004,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"adgd",2006,1,1,0,7,0,7,0,0,3,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0
"adgd",2007,1,1,0,10,0,10,1,0,2,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0
"adgd",2008,4,4,1,5,0,5,0,0,14,0,3,0,0,72,2,0,1,0,0,0,0,0,0,0
"adgd",2009,2,2,0,4,0,4,0,0,8,0,0,0,0,39,2,0,0,0,0,0,0,0,0,0
"adgd",2011,5,4,0,36,0,52,5,0,28,0,0,0,0,152,4,0,0,0,0,0,0,0,0,0
"adgd",2012,8,7,2,32,1,64,9,0,34,0,3,0,0,130,6,0,0,0,0,0,0,0,0,0
"adgd",2013,17,14,5,31,1,181,16,0,99,0,15,0,0,411,18,0,8,0,0,0,0,0,0,0
"adgd",2014,1,1,1,51,1,51,3,0,6,0,1,0,0,26,3,0,1,0,1,0,0,0,0,0
"adgd",2016,2,1,0,0,0,0,0,0,11,0,0,0,0,64,1,0,0,0,0,0,0,0,0,0
"afos",1999,7,5,0,35,0,48,4,0,5,0,0,0,0,31,0,0,5,0,0,0,0,0,0,0
"afos",2000,5,5,0,22,0,30,5,0,4,0,0,0,0,19,0,0,3,0,0,0,0,0,0,0
"ahma",2011,5,3,1,34,1,50,7,0,28,0,2,0,0,145,4,0,0,0,0,0,0,0,0,0
"ahmb",2014,1,1,0,1,0,1,0,0,4,3,0,0,0,20,0,0,0,0,0,0,0,0,0,0
"ahmd",1995,8,6,1,19,0,42,9,0,13,0,0,0,0,77,2,0,2,0,0,0,0,0,0,0
"ahmm",2018,1,0,0,0,0,0,0,0,6,0,1,0,0,28,1,0,0,0,0,0,0,0,0,0
"alai",2003,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"aldr",1966,11,11,0,54,0,186,19,7,104,2,38,2,2,230,31,2,1,0,1,0,0,0,0,0
"aldr",1967,1,1,0,33,0,33,3,0,8,0,0,0,0,19,1,0,0,0,0,0,0,0,0,0
"aldr",1971,6,6,0,43,0,141,20,0,58,2,19,0,0,118,8,0,0,0,0,0,0,0,0,0
"aldr",1972,10,9,2,49,1,195,28,2,104,5,24,6,0,286,22,0,5,0,0,0,0,0,6,0
"aldr",1975,1,1,0,0,0,0,0,0,7,0,0,0,0,27,1,0,1,0,0,0,0,0,0,0
"allm",1983,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"altr",1980,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"amin",2006,1,1,1,1,1,1,0,0,3,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0
"anan",2005,3,3,0,30,0,39,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"andj",1964,14,13,1,47,0,193,23,0,78,0,18,5,0,243,14,0,2,0,0,0,0,0,0,0
"andj",1965,8,8,2,36,1,47,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"andk",1949,4,6,0,43,0,75,10,0,7,0,0,0,0,21,0,0,1,0,0,0,0,0,0,0
"angg",1975,6,6,1,9,0,12,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"angg",1976,11,9,2,12,0,20,2,0,1,1,0,0,0,11,1,0,3,0,0,0,0,0,0,0
"angg",1977,7,6,0,11,0,34,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"angg",1978,9,7,0,5,0,11,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1
"angg",1979,12,9,3,16,0,59,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,3
"angg",1980,22,19,2,35,0,151,12,3,33,5,5,0,0,151,6,0,12,0,0,0,0,8,0,5
"angg",1981,17,17,3,20,0,141,13,0,12,0,3,0,0,61,1,0,3,0,0,0,0,1,0,1
"angg",1982,17,17,3,25,0,88,5,1,4,0,0,0,0,22,2,0,1,0,0,0,0,0,0,0
"angg",1983,22,20,4,28,1,120,10,0,6,0,1,0,0,39,3,0,6,0,0,0,0,3,1,5
"angg",1984,30,28,4,43,0,311,45,2,15,0,2,0,0,48,2,0,9,0,0,0,0,1,4,2
"angg",1985,21,18,2,35,1,128,12,0,10,0,1,0,0,42,3,0,4,0,0,0,0,1,0,6
"angg",1986,24,24,1,55,0,332,37,2,0,0,0,0,0,0,0,0,7,1,1,0,0,3,1,4
"angg",1987,21,18,0,38,0,180,11,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"angg",1988,28,26,2,61,0,329,38,5,0,0,0,0,0,0,0,0,6,0,1,0,0,0,1,0
"angg",1989,40,38,3,52,0,492,55,5,0,0,0,0,0,0,0,0,10,0,1,0,0,4,1,6
"angg",1990,27,26,1,43,0,348,44,1,0,0,0,0,0,0,0,0,4,0,0,0,0,1,2,3
"angg",1991,22,22,1,56,0,269,31,1,0,0,0,0,0,0,0,0,5,0,1,0,0,2,0,3
"angg",1992,16,14,2,66,0,143,17,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0
"angg",1993,16,14,1,70,0,164,20,1,1,3,0,0,0,11,0,0,3,0,1,0,0,0,1,1
"angg",1994,9,9,0,21,0,98,10,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"angg",1995,14,12,1,52,0,222,37,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,9,2
"angg",1996,7,7,1,26,0,95,14,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0
"angg",1997,1,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"angg",1998,4,3,1,28,1,49,4,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"angg",1999,3,3,0,12,0,19,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"angg",2001,4,4,0,9,0,20,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"angg",2003,9,9,0,24,0,66,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"angg",2004,4,4,0,8,0,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"annp",1980,3,2,1,11,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
"ardc",1970,10,9,1,45,0,167,23,2,7,0,1,0,0,33,2,0,1,0,0,0,0,0,0,0
"ardc",1971,6,6,0,23,0,54,6,0,6,0,1,0,0,25,1,0,2,0,0,0,0,0,0,0
"ardc",1972,6,5,0,57,0,116,14,1,3,0,0,0,0,16,1,0,2,0,1,0,0,0,0,0
"ardc",1973,9,9,1,58,0,139,14,2,0,0,0,0,0,0,0,0,6,0,1,0,0,2,0,1
"ardc",1974,7,6,1,41,0,120,16,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"ardc",1975,9,9,1,54,1,215,30,3,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0
"arif",2011,1,1,0,4,0,4,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0
"arrp",1983,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"azfs",2012,6,4,1,16,0,55,8,0,16,0,0,0,0,112,1,0,0,0,0,0,0,0,0,0
"azfs",2013,4,3,1,13,0,29,3,1,4,0,0,0,0,35,1,0,1,0,0,0,0,0,0,0
"azfs",2014,1,1,0,11,0,11,2,0,1,2,0,0,0,19,1,0,0,0,0,0,0,0,0,0
"azfs",2015,3,3,0,22,0,42,8,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
"baij",1993,4,4,1,70,1,179,32,1,0,0,0,0,0,0,0,0,2,2,1,0,0,2,0,4
"baij",1994,11,11,2,119,1,433,70,0,0,0,0,0,0,0,0,0,12,3,4,2,0,12,0,9
"baij",1995,8,8,0,57,0,211,33,2,0,0,0,0,0,0,0,0,3,1,1,0,0,3,0,8
"baij",1996,5,5,0,54,0,70,14,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,2
"baij",1997,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"bakd",1964,4,3,1,9,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bakd",1965,8,7,2,5,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bakd",1966,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bakj",1957,1,1,0,14,0,14,0,0,6,0,1,0,0,21,1,0,0,0,0,0,1,0,0,0
"bakj",1958,1,1,1,5,1,5,1,0,12,0,6,0,0,21,6,1,0,0,0,0,0,0,0,0
"bakj",1959,5,3,1,76,1,96,10,2,13,0,1,0,0,55,0,0,1,0,1,0,0,0,0,0
"bakj",1960,15,13,3,48,1,218,19,2,122,2,16,0,1,337,38,3,5,0,0,0,0,0,0,0
"bakj",1961,15,16,0,49,0,156,13,0,84,0,14,1,2,293,22,3,5,0,0,0,0,0,0,0
"bakj",1962,12,12,1,73,1,169,18,0,51,3,11,0,3,133,12,0,9,0,1,0,0,0,0,0
"bakj",1963,15,11,1,26,0,77,10,0,67,0,15,1,2,180,10,0,4,0,0,0,0,0,0,0
"bakj",1964,1,1,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bakj",1965,2,2,0,6,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"bakj",1966,1,1,1,14,1,14,1,0,6,0,3,0,0,8,1,0,0,0,0,0,0,0,0,0
"bakj",1968,5,5,0,32,0,85,9,0,10,0,1,0,0,40,2,0,1,0,0,0,0,0,0,0
"bakj",1969,5,5,1,52,0,120,13,0,5,0,0,0,0,24,1,0,2,0,1,0,0,0,0,0
"bakj",1970,3,3,0,63,0,123,19,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
"bale",1965,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"bale",1968,9,6,1,12,0,26,3,0,1,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0
"bale",1969,14,11,3,28,0,43,8,0,1,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0
"bale",1970,4,3,0,8,0,15,2,0,6,0,0,0,0,23,2,0,1,0,0,0,0,0,0,0
"bale",1971,13,9,1,13,1,28,3,0,56,5,5,5,0,261,13,0,6,0,0,0,0,0,0,0
"bale",1972,6,3,0,16,0,26,3,0,12,0,1,0,0,65,1,0,3,0,0,0,0,0,0,0
"bale",1973,14,12,2,18,0,63,8,1,54,0,7,6,0,176,11,0,3,0,0,0,0,0,0,0
"bale",1974,11,9,1,42,0,83,13,0,19,0,3,0,0,74,1,0,4,0,0,0,0,0,0,0
"bale",1975,23,19,1,26,0,120,14,0,69,5,12,3,1,222,19,2,6,0,0,0,0,2,0,4
"bale",1976,28,24,5,9,0,64,10,0,74,0,9,2,0,316,12,0,7,0,0,0,0,2,0,3
"bale",1977,24,15,4,26,0,51,6,0,63,5,9,0,0,237,7,0,5,0,0,0,0,1,0,1
"bale",1978,26,16,3,31,0,105,15,1,107,5,12,1,2,388,22,1,10,0,0,0,0,2,0,3
"bale",1979,21,14,8,16,0,43,4,0,147,4,34,0,4,465,21,0,7,0,0,0,0,3,0,2
"bale",1980,13,5,1,12,0,28,4,0,106,3,23,0,1,345,24,1,2,0,0,0,0,1,0,1
"bale",1981,12,6,2,10,1,22,1,0,103,1,18,0,1,334,17,0,2,0,0,0,0,0,0,1
"bale",1982,15,14,5,36,0,92,14,1,64,1,7,2,0,262,16,1,2,0,0,0,0,0,0,0
"bale",1983,2,1,1,0,1,0,0,0,13,0,2,0,0,66,2,0,1,0,0,0,0,0,0,0
"bale",1984,1,0,0,0,0,0,0,0,10,0,1,0,0,30,3,0,0,0,0,0,0,0,0,0
"bale",1988,1,1,1,1,1,1,0,0,0,5,0,0,0,9,0,0,0,0,0,0,0,0,0,0
"bale",1989,2,1,0,11,0,11,2,0,9,0,1,0,0,51,2,0,0,0,0,0,0,0,0,0
"bale",1990,2,1,0,8,0,8,2,0,7,3,0,0,0,24,2,0,1,0,0,0,0,0,0,0
"baln",1999,2,2,0,20,0,39,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bans",1949,3,4,0,4,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bans",1950,2,3,0,13,0,24,2,0,2,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0
"bans",1952,1,1,0,15,0,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"barc",1958,11,11,2,32,0,83,1,1,49,5,8,0,0,129,9,0,4,0,0,0,0,0,0,0
"barc",1959,3,3,0,11,0,28,2,0,7,0,1,0,0,22,1,0,0,0,0,0,0,0,0,0
"barj",2014,1,1,0,33,0,33,3,0,4,0,0,0,0,18,2,0,1,0,0,0,0,0,0,0
"bark",1971,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"barn",1954,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"barr",1982,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"barr",1983,4,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"barr",1984,3,2,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"barr",1985,6,5,2,8,1,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"barr",1986,1,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"barr",1988,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bars",1972,1,1,0,39,0,39,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
"bars",1973,1,1,0,14,0,14,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"bart",2015,1,1,0,14,0,14,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"bary",1974,1,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"basm",1997,1,1,0,0,0,0,0,0,5,0,1,0,0,19,0,0,0,0,0,0,0,0,0,0
"bayc",1994,1,1,0,0,0,0,0,0,3,0,0,0,0,31,2,0,1,0,0,0,0,0,0,0
"bees",1973,2,2,0,8,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bees",1974,4,2,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bees",1978,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"belm",1999,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"belm",2000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"benn",2010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"berd",1968,1,1,0,10,0,10,2,0,7,0,0,0,0,34,1,0,1,0,0,0,0,0,0,0
"berm",1970,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bhap",2016,13,11,1,64,0,229,29,2,62,0,9,0,0,265,16,0,0,0,1,0,0,0,0,0
"bhap",2017,17,13,1,31,0,218,23,0,87,0,7,0,0,342,23,0,2,0,0,0,0,0,0,1
"bhap",2018,14,12,3,34,0,184,23,2,94,0,15,0,0,304,23,1,6,0,0,0,0,0,0,0
