"Year","Played","Won","Lost","Drawn","Tied","NoResult","MaxPossibleGames"
1949,12,4,7,1,0,0,12
1950,14,6,6,2,0,0,14
1951,20,9,8,3,0,0,20
1952,23,10,6,7,0,0,23
1953,29,13,10,5,1,0,29
1954,30,15,10,5,0,0,30
1955,38,19,12,7,0,0,38
1956,27,12,9,6,0,0,27
1957,30,16,10,3,0,1,30
1958,26,13,7,6,0,0,26
1959,29,11,8,9,0,1,29
1960,27,12,9,6,0,0,27
1961,26,9,11,6,0,0,26
1962,26,13,6,7,0,0,26
1963,46,22,11,13,0,0,46
1964,49,22,16,8,1,2,49
1965,44,15,16,12,0,1,44
1966,46,21,17,6,1,1,46
1967,43,20,14,9,0,0,43
1968,45,15,20,9,0,1,45
1969,47,20,13,14,0,0,47
1970,48,12,22,13,0,1,48
1971,45,11,23,11,0,0,45
1972,44,10,15,19,0,0,44
1973,44,12,15,17,0,0,44
1974,45,13,16,15,0,1,45
1975,44,17,19,8,0,0,44
1976,47,19,19,9,0,0,47
1977,47,22,12,11,0,2,47
1978,45,17,14,14,0,0,45
1979,42,13,12,17,0,0,42
1980,45,16,12,16,0,1,45
1981,38,12,13,12,0,1,38
1982,42,14,15,11,1,1,42
1983,32,8,16,8,0,0,32
1984,43,12,18,12,0,1,43
1985,36,14,17,5,0,0,36
1986,42,11,20,9,2,0,42
1987,42,15,12,13,0,2,42
1988,39,20,8,11,0,0,39
1989,60,23,20,15,0,2,60
1990,58,20,17,21,0,0,58
1991,54,18,16,19,0,1,54
1992,53,19,21,12,0,1,53
1993,51,17,21,12,0,1,44
1994,45,16,15,14,0,0,38
1995,48,24,11,12,0,1,42
1996,51,26,11,14,0,0,44
1997,45,20,10,15,0,0,41
1998,45,17,13,13,0,2,37
1999,36,9,12,15,0,0,34
2000,34,16,8,9,1,0,34
2001,37,17,8,11,0,1,37
2002,39,14,17,7,0,1,39
2003,35,12,17,6,0,0,35
2004,25,8,15,2,0,0,25
2005,28,8,11,7,1,1,28
2006,19,2,15,2,0,0,19
2007,16,1,6,6,1,2,16
2008,19,5,9,4,0,1,19
2009,23,7,14,2,0,0,23
2010,21,9,7,5,0,0,21
2011,23,9,12,1,0,1,23
2012,19,4,11,3,0,1,19
2013,22,12,8,2,0,0,22
2014,17,5,9,1,0,2,17
2015,23,14,9,0,0,0,23
2016,21,15,6,0,0,0,21
2017,23,12,11,0,0,0,23
2018,17,9,7,0,1,0,17
