"Year","Club","RunsScored","WicketsLost","Highest","HighestWkts","HighestDate","HighestOpps","Lowest","LowestWkts","LowestDate","LowestOpps","Byes","LegByes","Wides","NoBalls","BallsBowled","BallsReceived"
1949,"Opp",1270,134,219,3,1949-05-29 00:00:00,"Paxton Park",15,10,1949-05-08 00:00:00,"Windmill",113,25,2,3,,
1949,"TCC",1315,163,150,8,1949-09-18 00:00:00,"Victor Sports",20,10,1949-07-24 00:00:00,"Jackdaws",82,17,4,10,,
1950,"Opp",1445,179,115,7,1950-06-04 00:00:00,"Grove",37,10,1950-07-09 00:00:00,"Old Ford",117,21,10,1,,
1950,"TCC",1488,164,160,4,1950-07-09 00:00:00,"Old Ford",36,10,1950-08-06 00:00:00,"Benham",98,19,5,3,,
1951,"Opp",2268,247,189,6,1951-08-12 00:00:00,"Devas",36,10,1951-05-13 00:00:00,"For.Com.L'hurst",142,29,10,3,,
1951,"TCC",2290,213,215,9,1951-07-29 00:00:00,"Victor Sports",21,10,1951-07-08 00:00:00,"Selsdon",122,24,5,8,,
1952,"Opp",2092,239,141,9,1952-08-17 00:00:00,"Great Northern",34,10,1952-06-01 00:00:00,"Swan Green",136,29,5,12,,
1952,"TCC",2019,187,248,10,1952-07-20 00:00:00,"Trinity",31,8,1952-09-21 00:00:00,"David Evans",95,29,5,4,,
1953,"Opp",3000,298,189,8,1953-09-13 00:00:00,"Grange Mills",28,11,1953-05-24 00:00:00,"Swan Green",231,38,10,6,,
1953,"TCC",3113,306,187,3,1953-09-19 00:00:00,"Clapham Oddfellows",32,9,1953-08-03 00:00:00,"Battersea Sports",163,31,9,3,,
1954,"Opp",2480,266,174,4,1954-07-03 00:00:00,"Battersea Elts",15,10,1954-08-08 00:00:00,"RAFA Beckenham",158,32,19,6,,
1954,"TCC",2986,262,168,10,1954-06-27 00:00:00,"Green Street Green",28,10,1954-09-05 00:00:00,"Battersea Sports",95,33,7,11,,
1955,"Opp",4034,370,182,10,1955-07-31 00:00:00,"Cannon House",30,10,1955-05-08 00:00:00,"Cornwall",267,61,24,6,,
1955,"TCC",3771,337,163,3,1955-07-09 00:00:00,"Merton Saints",29,10,1955-08-20 00:00:00,"Hanwell",222,70,5,13,,
1956,"Opp",2706,281,144,10,1956-05-19 00:00:00,"Swan Green",37,10,1956-07-08 00:00:00,"Laleham Village",119,34,2,1,,
1956,"TCC",2332,248,162,5,1956-06-24 00:00:00,"Great Northern",29,10,1956-07-15 00:00:00,"Windmill",148,51,6,9,,
1957,"Opp",3017,268,195,10,1957-08-25 00:00:00,"Weston Green",42,10,1957-07-07 00:00:00,"Laleham Village",230,53,9,10,,
1957,"TCC",2991,253,218,2,1957-06-16 00:00:00,"South Harrow",42,10,1957-09-29 00:00:00,"Petts Wood Wanderers",229,45,9,10,,
1958,"Opp",2169,241,127,10,1958-08-04 00:00:00,"Molesey Hurst",36,10,1958-09-07 00:00:00,"Hampton",112,45,9,11,,
1958,"TCC",2421,240,175,11,1958-05-18 00:00:00,"Services Rendered",15,11,1958-06-01 00:00:00,"Tokyngton",114,23,15,8,,
1959,"Opp",3516,259,248,5,1959-09-13 00:00:00,"Grange Mills",59,11,1959-05-17 00:00:00,"Pennington",169,70,6,13,,
1959,"TCC",3474,214,232,11,1959-09-20 00:00:00,"Molesey Hurst",30,7,1959-08-15 00:00:00,"Barnes & Mortlake",146,61,7,8,,
1960,"Opp",2848,234,216,9,1960-08-01 00:00:00,"Molesey Hurst",28,10,1960-05-15 00:00:00,"RA Assn (Surbiton)",131,47,10,5,,
1960,"TCC",3050,234,196,6,1960-08-21 00:00:00,"Walton Park",29,10,1960-07-24 00:00:00,"West London",131,44,0,6,,
1961,"Opp",3170,218,196,5,1961-06-28 00:00:00,"Banstead Hospital",30,8,1961-09-14 00:00:00,"Beaverbrook Newspapers",134,2,16,7,,
1961,"TCC",3301,239,221,9,1961-07-23 00:00:00,"Grange Mills",55,11,1961-09-25 00:00:00,"Mirror-Pictorial",110,46,3,10,,
